QueryText,KCCAns
FARMER ASKED ABOUT MARKET RATE OF PUMPKIN ?,"MARKET RATE OF PUMPKIN -800,	1400,	1000 RS/QTL"
FARMER ASKED ABOUT MARKET RATE OF PUMPKIN ?,"MARKET RATE OF PUMPKIN -800,	1400,	1000 RS/QTL"
Attack of Caterpillar  on bhindi ?,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta
Attack of Caterpillar  on bhindi ?,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta
ASKED ABOUT BITTER GOURD PLKANTATION ?,"For more information on cultivation, all India Vegetable Reform Project, Mahatma Phule Agricultural University, Rahuri (02426- 243342) or Agriculture Technology Information Center, Dr. Contact us at Panjabrao Deshmukh Agricultural University, Akola (Toll Free No. 18002330724)."
ASKED ABOUT BITTER GOURD PLKANTATION ?,"For more information on cultivation, all India Vegetable Reform Project, Mahatma Phule Agricultural University, Rahuri (02426- 243342) or Agriculture Technology Information Center, Dr. Contact us at Panjabrao Deshmukh Agricultural University, Akola (Toll Free No. 18002330724)."
STEM BORER ATTACK ON MANGO ?,STEM BORER ATTACK ON MANGO  = APPLICATION OF NUWAN
STEM BORER ATTACK ON MANGO ?,STEM BORER ATTACK ON MANGO  = APPLICATION OF NUWAN
Attack of White Fly ?,Spray Ullala 8 gm/15 Lit of Water.UPL
Attack of White Fly ?,Spray Ullala 8 gm/15 Lit of Water.UPL
ASKED ABOUT Attack of Thrips ON COTTON?,"SPRAY JUMP(FIPRONIL 80%) 3 GM / 15 LITRE OF WATER, BAYER CROP SCIENCE"
ASKED ABOUT Attack of Thrips ON COTTON?,"SPRAY JUMP(FIPRONIL 80%) 3 GM / 15 LITRE OF WATER, BAYER CROP SCIENCE"
Asking About Market Rate ?,Market Rate of 800-1400  rupees/qtl
Asking About Market Rate ?,Market Rate of 800-1400  rupees/qtl
Attack of White Fly ?,Spray Tata manik 7 gm/15 liter of water(Acetamapride20SP)-Tata Rallis.
Attack of White Fly ?,Spray Tata manik 7 gm/15 liter of water(Acetamapride20SP)-Tata Rallis.
"Powdery or Downy or Blight(????,????)",Spray Amistar 5 ml/15 Liter of Water(Azactrostrobin)-Syngenta
"Powdery or Downy or Blight(????,????)",Spray Amistar 5 ml/15 Liter of Water(Azactrostrobin)-Syngenta
fertilizer spray on onion?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
fertilizer spray on onion?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
Asked about Fertilizer doses on onian?,Fertilizer doses on onian-Apply of 10:26:26 50kg/acre.
Asked about Fertilizer doses on onian?,Fertilizer doses on onian-Apply of 10:26:26 50kg/acre.
ASKING ABOUT GOVERNMENT SCHEME ?,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER
