,KCCAns,QueryText
0,"MARKET RATE OF PUMPKIN -800,	1400,	1000 RS/QTL",FARMER ASKED ABOUT MARKET RATE OF PUMPKIN ?
1,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta,Attack of Caterpillar  on bhindi ?
2,"For more information on cultivation, all India Vegetable Reform Project, Mahatma Phule Agricultural University, Rahuri (02426- 243342) or Agriculture Technology Information Center, Dr. Contact us at Panjabrao Deshmukh Agricultural University, Akola (Toll Free No. 18002330724).",ASKED ABOUT BITTER GOURD PLKANTATION ?
3,STEM BORER ATTACK ON MANGO  = APPLICATION OF NUWAN,STEM BORER ATTACK ON MANGO ?
4,Spray Ullala 8 gm/15 Lit of Water.UPL,Attack of White Fly ?
5,"SPRAY JUMP(FIPRONIL 80%) 3 GM / 15 LITRE OF WATER, BAYER CROP SCIENCE",ASKED ABOUT Attack of Thrips ON COTTON?
6,Market Rate of 800-1400  rupees/qtl,Asking About Market Rate ?
7,Spray Amistar 5 ml/15 Liter of Water(Azactrostrobin)-Syngenta,"Powdery or Downy or Blight(????,????)"
8,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,fertilizer spray on onion?
9,Fertilizer doses on onian-Apply of 10:26:26 50kg/acre.,Asked about Fertilizer doses on onian?
10,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER,ASKING ABOUT GOVERNMENT SCHEME ?
11,FERTILIZER SPRAY ON red gram - SPRAY 12 61 00 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,asking about FERTILIZER SPRAY ON red gram ?
12,DRENCHING ON FENUGREEK-DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER.,ASKING ABOUT  DRENCHING ON FENUGREEK?
13,Attack of White Grub ON ONION - Drenching of Chloropyriphos 40 ml / 15 lit of water.,ASKING ABOUT Attack of White Grub ON ONION ?
14,"VARIETIES OF CHILLI -PUSA JWALA ,SANKESHWARI-32 ,TEJSWINI, SITARA, PHULE JYOTI, PANT C, AGNIREKHA.",asking about VARIETIES OF CHILLI ?
15,Market Rate - AHMEDNAGAR QUINTAL 675 -2850	average	2950  rupees/qt.,Asking About ahmadnagar  Market Rate of soyabin ?
16,Spray Coragen 5ml/15 Lit of Water.( chlorantraniliprole 18.5% SC) Dupont India,Attack of Fruit Borer on brinjal ?
17,"APMC PANAN CONTACT NUMBER= 

Directorate of Marketing, Maharashtra State Pune

3rd floor, new intermediate building,

Ambedkar Wellsley Road,

Pune Maharashtra- 411 001.

Telephone number 020-26126628, 26126785

email-dirmktms @ gmai",ASKED ABOUT APMC PANAN CONTACT NUMBER ?
18,"MARKET RATE OF BAJRA -1311,	1311,	1311 RS/QTL",FARMER ASKED ABOUT MARKET RATE OF BAJRA ?
19,RAHATA	Bhagwa	QUINTAL	2635	250	15000	6000,ASKED ABOUT MARKET RATE OF POMOGRANATE ?
20,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL,Asked about Attack of Thrips on onion ?
21,Spray Actra 5 gm+ M 45 30 GM/15 Liter of Water(Thiomithoxom 25%)-Syngenta,ASKING ABOUT ATTACK OF SUCKING PEST ?
22,"SPRAY 2, 4- D 40 GM 20-25 DAYS AFTER SOWING /15 LITERS OF WATEER",WEED MANAGEMENT IN jowar  ?
23,Spray Chloropyriphos 30 ml/15 Lit of Water.,ATTACK OF LEAF EATING CATERPILLAR ?
24,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN,ATTACK OF SUCKING PEST ON POMOGRANATE ?
25,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER,ASKING ABOUT FLOWER DROP OF COTTON ?
26,00:52:34- 60 GRAM + MICROLA- 30 MILI / 15 LITER WATER,ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF GUAVA FRUIT?
27,Attack of Stem Borer on sugarcane-SPRAY of NUVAN 20 ML/ 15 LITERS OF WATER,Asked about Attack of Stem Borer on sugarcane?
28,GROWTH OF POMEGRANATE FRUITS -00:52:34   3 kg  /ACRE,ASKED ABOUT GROWTH OF POMEGRANATE FRUITS?
29,Market Rate of OBNION FOR SANGAMNER MARKET   300- 1081	rupees/qtl,Asking About Market Rate ONION ?
30,animal husbandry department contact to dr. Jagdish Gudevar 9730066847,Asked about animal husbandry department ?
31,SPRAY 00 52 34 60 GM /15 Lit of Water.,FERTILIZER SPRAY ON ONION ?
32,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER,ASKED ABOUT DROPPING OF FLOWER IN COTTON ?
33,ATTACK OF POD BORER on brinjal - Spray Missile 7 gm/15 liter water (Emamectin Benzoate 5% SG)- Crystal Crop Protection,asking about ATTACK OF POD BORER on brinjal ?
34,Spray Actra 5 gm + Bavistine 30gm /15 Liter of Water (Thiomithoxom 25%)-Syngenta,ATTACK OF APHIDS on onion ?
35,ATTACK OF APHIDS in onion - Spray Actra 5 gm + Bavistine 30gm /15 liter of water.,asking about ATTACK OF APHIDS in onion ?
36,SPRAY 19 19 19  60 GM/15 litre water,ASKED ABOUT FERTILIZER SPRAY FOR GROWTH ON ONION ?
